k           Dominant Eiganvalue    Convergence
1                   2             2.82843
2                 5.5             5.31507
3             6.93803             2.14894
4              5.8639              1.3481
5             4.87042             1.97269
6             4.58587             4.26465
7             8.46904             6.34733
8             10.9246             3.18834
9             10.4344             1.34195
10             9.89239            0.644437
11             9.55244            0.341669
12              9.3494            0.191807
13              9.2281            0.111099
14             9.15533           0.0654069
15             9.11162           0.0388031
16             9.08537           0.0230844
17             9.06963           0.0137344
18             9.06023          0.00816075
19             9.05463          0.00483932
20             9.05131          0.00286329
21             9.04934          0.00169031
22             9.04817          0.00099571
23             9.04749         0.000585373
24             9.04708         0.000343514
25             9.04685         0.000201255
26             9.04671         0.000117737
27             9.04663        6.87874e-005
28             9.04658        4.01421e-005
29             9.04655        2.34013e-005
30             9.04654        1.36295e-005
31             9.04653        7.93154e-006
