Page Size    # of Frames    PR Algorithm        Page Faults % 
512          4              FIFO                58.8235%
512          4              LRU                 52.9412%
512          4              MRU                 41.1765%
512          4              OPT                 41.1765%
512          8              FIFO                41.1765%
512          8              LRU                 41.1765%
512          8              MRU                 41.1765%
512          8              OPT                 41.1765%
512          12              FIFO                41.1765%
512          12              LRU                 41.1765%
512          12              MRU                 41.1765%
512          12              OPT                 41.1765%
Page Size    # of Frames    PR Algorithm        Page Faults % 
512          4              FIFO                58.8235%
512          4              LRU                 52.9412%
512          4              MRU                 41.1765%
512          4              OPT                 41.1765%
512          8              FIFO                41.1765%
512          8              LRU                 41.1765%
512          8              MRU                 41.1765%
512          8              OPT                 41.1765%
512          12              FIFO                41.1765%
512          12              LRU                 41.1765%
512          12              MRU                 41.1765%
512          12              OPT                 41.1765%
1024          4              FIFO                52.9412%
1024          4              LRU                 41.1765%
1024          4              MRU                 35.2941%
1024          4              OPT                 35.2941%
1024          8              FIFO                35.2941%
1024          8              LRU                 35.2941%
1024          8              MRU                 35.2941%
1024          8              OPT                 35.2941%
1024          12              FIFO                35.2941%
1024          12              LRU                 35.2941%
1024          12              MRU                 35.2941%
1024          12              OPT                 35.2941%
2048          4              FIFO                23.5294%
2048          4              LRU                 23.5294%
2048          4              MRU                 23.5294%
2048          4              OPT                 23.5294%
2048          8              FIFO                23.5294%
2048          8              LRU                 23.5294%
2048          8              MRU                 23.5294%
2048          8              OPT                 23.5294%
2048          12              FIFO                23.5294%
2048          12              LRU                 23.5294%
2048          12              MRU                 23.5294%
2048          12              OPT                 23.5294%
Page Size    # of Frames    PR Algorithm        Page Faults % 
512          4              FIFO                58.8235%
512          4              LRU                 52.9412%
512          4              MRU                 41.1765%
512          4              OPT                 41.1765%
512          8              FIFO                41.1765%
512          8              LRU                 41.1765%
512          8              MRU                 41.1765%
512          8              OPT                 41.1765%
512          12              FIFO                41.1765%
512          12              LRU                 41.1765%
512          12              MRU                 41.1765%
512          12              OPT                 41.1765%
1024          4              FIFO                52.9412%
1024          4              LRU                 41.1765%
1024          4              MRU                 35.2941%
1024          4              OPT                 35.2941%
1024          8              FIFO                35.2941%
1024          8              LRU                 35.2941%
