Page Size    # of Frames    PR Algorithm        Page Faults % 
512          4              FIFO                84%
512          4              LRU                 82.4%
512          4              MRU                 85.6%
512          4              OPT                 77.6%
512          8              FIFO                68%
512          8              LRU                 66.4%
512          8              MRU                 74.4%
512          8              OPT                 62.4%
512          12              FIFO                63.2%
512          12              LRU                 60.8%
512          12              MRU                 64%
512          12              OPT                 51.2%
1024          4              FIFO                82.4%
1024          4              LRU                 80%
1024          4              MRU                 81.6%
1024          4              OPT                 74.4%
1024          8              FIFO                64.8%
1024          8              LRU                 62.4%
1024          8              MRU                 68%
1024          8              OPT                 60%
1024          12              FIFO                58.4%
1024          12              LRU                 54.4%
1024          12              MRU                 60%
1024          12              OPT                 44%
2048          4              FIFO                71.2%
2048          4              LRU                 71.2%
2048          4              MRU                 75.2%
2048          4              OPT                 68.8%
2048          8              FIFO                52.8%
2048          8              LRU                 52%
2048          8              MRU                 60.8%
2048          8              OPT                 49.6%
2048          12              FIFO                47.2%
2048          12              LRU                 41.6%
2048          12              MRU                 51.2%
2048          12              OPT                 32%
